2018-11-02 18:17:33,241 - DEBUG - generation=2, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=18.2900, childFitness=37.4300, networkFitness=37.4300
2018-11-02 18:17:40,377 - DEBUG - generation=2, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=35.5100, childFitness=31.9400, networkFitness=35.5100
2018-11-02 18:18:58,798 - DEBUG - generation=3, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=37.9200, childFitness=40.7400, networkFitness=40.7400
2018-11-02 18:19:05,818 - DEBUG - generation=3, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=33.6200, childFitness=10.0000, networkFitness=35.5100
2018-11-02 18:19:11,280 - DEBUG - generation=3, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=38.6600, childFitness=10.0000, networkFitness=41.9900
2018-11-02 18:19:25,791 - DEBUG - generation=3, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 8}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 8}, parentFitness=9.7900, childFitness=24.0000, networkFitness=24.0000
2018-11-02 18:19:26,009 - DEBUG - generation=3, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=37.6400, childFitness=36.1300, networkFitness=37.6400
2018-11-02 18:19:33,500 - DEBUG - generation=3, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=15.1400, childFitness=33.4600, networkFitness=33.4600
2018-11-02 18:20:52,659 - DEBUG - generation=4, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=40.6300, childFitness=17.4500, networkFitness=40.7400
2018-11-02 18:21:21,193 - DEBUG - generation=4, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=30.4100, childFitness=34.4500, networkFitness=34.4500
2018-11-02 18:21:21,537 - DEBUG - generation=4, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=17.3100, networkFitness=24.0000
2018-11-02 18:21:27,170 - DEBUG - generation=4, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=36.7300, childFitness=38.0100, networkFitness=38.0100
2018-11-02 18:21:30,708 - DEBUG - generation=4, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=36.9200, childFitness=38.8700, networkFitness=38.8700
2018-11-02 18:21:39,406 - DEBUG - generation=4, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 32}, parentFitness=41.1400, childFitness=25.4900, networkFitness=41.9900
2018-11-02 18:23:10,973 - DEBUG - generation=5, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=41.4500, childFitness=38.3700, networkFitness=41.4500
2018-11-02 18:23:16,578 - DEBUG - generation=5, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=35.4000, childFitness=36.2000, networkFitness=38.8700
2018-11-02 18:23:19,094 - DEBUG - generation=5, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 32}, parentFitness=38.9200, childFitness=37.0200, networkFitness=38.9200
2018-11-02 18:23:21,566 - DEBUG - generation=5, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=39.6300, childFitness=42.1200, networkFitness=42.1200
2018-11-02 18:23:44,525 - DEBUG - generation=5, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=32.2500, childFitness=31.5600, networkFitness=32.2500
2018-11-02 18:24:09,810 - DEBUG - generation=5, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=34.5900, childFitness=33.1600, networkFitness=34.5900
2018-11-02 18:25:45,691 - DEBUG - generation=6, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=32.8000, childFitness=37.4000, networkFitness=38.8700
2018-11-02 18:25:50,279 - DEBUG - generation=6, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=40.7000, childFitness=38.2600, networkFitness=41.4500
2018-11-02 18:25:55,130 - DEBUG - generation=6, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=39.3400, childFitness=23.9100, networkFitness=42.1200
2018-11-02 18:26:04,502 - DEBUG - generation=6, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=35.5500, childFitness=34.9000, networkFitness=38.9200
2018-11-02 18:26:12,581 - DEBUG - generation=6, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=32.5900, childFitness=39.5900, networkFitness=39.5900
2018-11-02 18:26:42,447 - DEBUG - generation=6, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=39.1200, childFitness=34.3500, networkFitness=39.1200
2018-11-02 18:28:22,038 - DEBUG - generation=7, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=38.9000, childFitness=40.9000, networkFitness=41.4500
2018-11-02 18:28:22,913 - DEBUG - generation=7, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'tanh', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=39.0200, childFitness=19.1400, networkFitness=39.1200
2018-11-02 18:28:29,427 - DEBUG - generation=7, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=19.1200, childFitness=33.5900, networkFitness=38.8700
2018-11-02 18:28:33,288 - DEBUG - generation=7, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=35.9700, childFitness=37.0200, networkFitness=39.5900
2018-11-02 18:28:38,027 - DEBUG - generation=7, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'relu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=35.1700, childFitness=15.7600, networkFitness=38.9200
2018-11-02 18:28:39,836 - DEBUG - generation=7, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=40.4100, childFitness=45.9300, networkFitness=45.9300
2018-11-02 18:30:28,281 - DEBUG - generation=8, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=37.0300, childFitness=41.9200, networkFitness=41.9200
2018-11-02 18:30:28,434 - DEBUG - generation=8, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=42.2000, childFitness=39.5400, networkFitness=42.2000
2018-11-02 18:30:29,096 - DEBUG - generation=8, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=37.3700, childFitness=10.0000, networkFitness=39.5900
2018-11-02 18:30:29,856 - DEBUG - generation=8, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=31.8900, childFitness=29.7800, networkFitness=38.8700
2018-11-02 18:30:37,425 - DEBUG - generation=8, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=45.6400, childFitness=46.1400, networkFitness=46.1400
