2018-11-02 15:06:50,424 - DEBUG - generation=1, Rank=7, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.2000, childFitness=18.1800, networkFitness=18.2000
2018-11-02 15:08:43,650 - DEBUG - generation=1, Rank=8, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 16}, parentFitness=17.9000, childFitness=16.7600, networkFitness=18.0500
2018-11-02 15:11:47,538 - DEBUG - generation=1, Rank=9, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.0600, childFitness=23.4000, networkFitness=23.4000
2018-11-02 15:13:06,304 - DEBUG - generation=2, Rank=0, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 4}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=41.8700
2018-11-02 15:15:29,064 - DEBUG - generation=2, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=17.7400, childFitness=30.7400, networkFitness=30.7400
2018-11-02 15:17:54,742 - DEBUG - generation=2, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=40.7700, childFitness=32.4900, networkFitness=40.7700
2018-11-02 15:19:39,283 - DEBUG - generation=2, Rank=3, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=41.8500, childFitness=35.4500, networkFitness=41.8500
2018-11-02 15:22:08,746 - DEBUG - generation=2, Rank=4, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.7600, childFitness=18.0100, networkFitness=19.2600
2018-11-02 15:24:50,263 - DEBUG - generation=2, Rank=5, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=21.9700, childFitness=17.8800, networkFitness=24.9000
2018-11-02 15:27:14,309 - DEBUG - generation=2, Rank=6, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.0100, childFitness=18.0700, networkFitness=18.6000
2018-11-02 15:30:16,576 - DEBUG - generation=2, Rank=7, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.1600, childFitness=10.0000, networkFitness=18.2000
