2018-11-02 19:49:15,025 - DEBUG - generation=1, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=38.6700, networkFitness=38.6700
2018-11-02 19:49:23,566 - DEBUG - generation=1, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=39.6600, childFitness=29.7300, networkFitness=39.6600
2018-11-02 19:49:31,948 - DEBUG - generation=1, Rank=4, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 19:49:34,571 - DEBUG - generation=1, Rank=5, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, parentFitness=42.8100, childFitness=10.0000, networkFitness=42.8100
2018-11-02 19:50:23,407 - DEBUG - generation=1, Rank=6, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=41.9300, networkFitness=41.9300
2018-11-02 19:53:36,214 - DEBUG - generation=2, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=30.5700, childFitness=30.2900, networkFitness=32.9400
2018-11-02 19:53:44,132 - DEBUG - generation=2, Rank=4, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=33.6600, networkFitness=33.6600
2018-11-02 19:53:48,543 - DEBUG - generation=2, Rank=5, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 9, 'nbNeurons': 8}, parentFitness=42.5300, childFitness=10.0000, networkFitness=42.8100
2018-11-02 19:54:12,095 - DEBUG - generation=2, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=36.6300, childFitness=45.4800, networkFitness=45.4800
2018-11-02 19:54:12,117 - DEBUG - generation=2, Rank=9, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=39.9500, childFitness=36.5300, networkFitness=40.4700
2018-11-02 19:54:12,298 - DEBUG - generation=2, Rank=7, processid=boyle-n010.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=10.0000, networkFitness=18.9300
2018-11-02 19:54:29,357 - DEBUG - generation=2, Rank=8, processid=boyle-n010.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=41.7700, childFitness=30.9200, networkFitness=41.7700
2018-11-02 19:55:02,016 - DEBUG - generation=2, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=40.1700, childFitness=31.2900, networkFitness=40.1700
2018-11-02 19:55:10,405 - DEBUG - generation=2, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=27.9100, childFitness=41.7200, networkFitness=41.7200
2018-11-02 19:55:31,138 - DEBUG - generation=2, Rank=6, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=42.5900, childFitness=41.7200, networkFitness=42.5900
2018-11-02 19:58:49,649 - DEBUG - generation=3, Rank=4, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=26.9400, childFitness=33.4100, networkFitness=33.6600
2018-11-02 19:59:00,860 - DEBUG - generation=3, Rank=9, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=41.0200, childFitness=41.9900, networkFitness=41.9900
2018-11-02 19:59:01,199 - DEBUG - generation=3, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=32.1100, childFitness=26.1200, networkFitness=32.9400
2018-11-02 19:59:05,157 - DEBUG - generation=3, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=45.0300, childFitness=43.1800, networkFitness=45.4800
2018-11-02 19:59:08,833 - DEBUG - generation=3, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=40.1900, childFitness=34.2300, networkFitness=40.1900
2018-11-02 19:59:24,527 - DEBUG - generation=3, Rank=8, processid=boyle-n010.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 32}, parentFitness=35.4400, childFitness=18.4100, networkFitness=41.7700
2018-11-02 19:59:35,510 - DEBUG - generation=3, Rank=7, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=21.1000, networkFitness=21.1000
2018-11-02 20:00:05,756 - DEBUG - generation=3, Rank=5, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=40.3900, childFitness=29.3800, networkFitness=42.8100
2018-11-02 20:00:06,395 - DEBUG - generation=3, Rank=6, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=40.3700, childFitness=35.8500, networkFitness=42.5900
2018-11-02 20:00:10,473 - DEBUG - generation=3, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=41.0800, childFitness=40.7300, networkFitness=41.7200
2018-11-02 20:03:30,318 - DEBUG - generation=4, Rank=4, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=29.8100, childFitness=32.8400, networkFitness=33.6600
2018-11-02 20:03:37,372 - DEBUG - generation=4, Rank=8, processid=boyle-n010.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=42.5600, childFitness=18.4700, networkFitness=42.5600
2018-11-02 20:03:41,786 - DEBUG - generation=4, Rank=5, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 8}, parentFitness=42.1100, childFitness=34.9900, networkFitness=42.8100
