2018-11-02 19:30:07,415 - DEBUG - generation=1, Rank=10, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 4}, parentFitness=18.9200, childFitness=17.8000, networkFitness=25.0600
2018-11-02 19:30:09,758 - DEBUG - generation=1, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 9, 'nbNeurons': 16}, child={'dropout': 0.3, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 9, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 19:30:12,339 - DEBUG - generation=1, Rank=7, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=43.4300, childFitness=35.5900, networkFitness=45.2900
2018-11-02 19:30:14,222 - DEBUG - generation=1, Rank=8, processid=boyle-n026.cluster, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=20.7000, childFitness=19.0200, networkFitness=21.2600
2018-11-02 19:30:15,016 - DEBUG - generation=1, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=34.2900, childFitness=18.3200, networkFitness=35.5600
2018-11-02 19:30:19,588 - DEBUG - generation=1, Rank=6, processid=boyle-n026.cluster, parent={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 64}, parentFitness=31.4200, childFitness=10.0000, networkFitness=33.5900
2018-11-02 19:30:20,186 - DEBUG - generation=1, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, child={'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 4}, parentFitness=18.6200, childFitness=10.0000, networkFitness=18.9800
2018-11-02 19:30:24,362 - DEBUG - generation=1, Rank=11, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=46.8400, childFitness=42.1000, networkFitness=46.8400
2018-11-02 19:30:29,790 - DEBUG - generation=1, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 19:32:46,026 - DEBUG - generation=2, Rank=11, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=47.0000, childFitness=23.9200, networkFitness=47.0000
