2018-11-02 20:55:42,620 - DEBUG - generation=2, Rank=7, processid=boyle-n028.cluster, parent={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=36.9500, childFitness=27.2400, networkFitness=36.9500
2018-11-02 20:55:45,162 - DEBUG - generation=2, Rank=6, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=38.2600, childFitness=38.6300, networkFitness=38.6300
2018-11-02 20:55:48,772 - DEBUG - generation=2, Rank=2, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=46.6300, childFitness=20.4000, networkFitness=46.6300
2018-11-02 20:55:53,144 - DEBUG - generation=2, Rank=5, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=36.3500, childFitness=37.4600, networkFitness=37.4600
2018-11-02 20:55:55,346 - DEBUG - generation=2, Rank=0, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=41.7500, childFitness=30.3300, networkFitness=41.7500
2018-11-02 20:56:09,569 - DEBUG - generation=2, Rank=1, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=39.4500, childFitness=44.3800, networkFitness=44.3800
2018-11-02 20:56:11,081 - DEBUG - generation=2, Rank=4, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=33.7900, childFitness=43.2500, networkFitness=43.2500
2018-11-02 20:56:49,818 - DEBUG - generation=2, Rank=3, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=44.7100, childFitness=44.4800, networkFitness=45.5600
2018-11-02 20:58:41,059 - DEBUG - generation=3, Rank=7, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=23.5400, childFitness=34.6500, networkFitness=36.9500
2018-11-02 20:58:41,495 - DEBUG - generation=3, Rank=0, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=40.3200, childFitness=35.0100, networkFitness=41.7500
2018-11-02 20:58:45,314 - DEBUG - generation=3, Rank=2, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 4}, parentFitness=46.6200, childFitness=25.0200, networkFitness=46.6300
2018-11-02 20:58:50,105 - DEBUG - generation=3, Rank=6, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=39.2800, childFitness=40.4500, networkFitness=40.4500
2018-11-02 20:59:03,390 - DEBUG - generation=3, Rank=5, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=38.9300, childFitness=44.7200, networkFitness=44.7200
2018-11-02 20:59:04,478 - DEBUG - generation=3, Rank=1, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=42.1900, childFitness=43.6800, networkFitness=44.3800
2018-11-02 20:59:07,545 - DEBUG - generation=3, Rank=4, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=45.7100, childFitness=43.9900, networkFitness=45.7100
2018-11-02 20:59:25,492 - DEBUG - generation=3, Rank=3, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=44.9800, childFitness=44.9500, networkFitness=45.5600
2018-11-02 21:01:25,615 - DEBUG - generation=4, Rank=6, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=40.7000, childFitness=37.4500, networkFitness=40.7000
2018-11-02 21:01:26,043 - DEBUG - generation=4, Rank=0, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=40.4700, childFitness=20.9800, networkFitness=41.7500
2018-11-02 21:01:29,068 - DEBUG - generation=4, Rank=1, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=44.2900, childFitness=37.6700, networkFitness=44.3800
2018-11-02 21:01:45,843 - DEBUG - generation=4, Rank=4, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=44.7900, childFitness=45.4200, networkFitness=45.7100
2018-11-02 21:01:47,935 - DEBUG - generation=4, Rank=5, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=44.8000, childFitness=44.7900, networkFitness=44.8000
2018-11-02 21:02:06,570 - DEBUG - generation=4, Rank=3, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=45.2300, childFitness=48.7700, networkFitness=48.7700
2018-11-02 21:02:12,848 - DEBUG - generation=4, Rank=7, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=32.2000, childFitness=46.3500, networkFitness=46.3500
2018-11-02 21:02:20,594 - DEBUG - generation=4, Rank=2, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=45.8800, childFitness=28.7500, networkFitness=46.6300
2018-11-02 21:04:10,205 - DEBUG - generation=5, Rank=7, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 4}, parentFitness=45.8200, childFitness=10.0000, networkFitness=46.3500
2018-11-02 21:04:27,381 - DEBUG - generation=5, Rank=0, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=41.1900, childFitness=40.6400, networkFitness=41.7500
2018-11-02 21:04:28,544 - DEBUG - generation=5, Rank=1, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=40.2600, childFitness=42.4700, networkFitness=44.3800
2018-11-02 21:04:41,705 - DEBUG - generation=5, Rank=5, processid=boyle-n028.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=43.7600, childFitness=43.9900, networkFitness=44.8000
2018-11-02 21:04:42,596 - DEBUG - generation=5, Rank=4, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=44.3700, childFitness=48.4500, networkFitness=48.4500
2018-11-02 21:04:46,106 - DEBUG - generation=5, Rank=6, processid=boyle-n028.cluster, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 4}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=10.0000, childFitness=10.0000, networkFitness=40.7000
2018-11-02 21:04:59,526 - DEBUG - generation=5, Rank=2, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=46.0200, childFitness=49.0000, networkFitness=49.0000
2018-11-02 21:05:14,226 - DEBUG - generation=5, Rank=3, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=47.0200, childFitness=46.3900, networkFitness=48.7700
2018-11-02 21:07:08,992 - DEBUG - generation=6, Rank=6, processid=boyle-n028.cluster, parent={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 4}, parentFitness=30.7200, childFitness=24.6600, networkFitness=40.7000
2018-11-02 21:07:19,895 - DEBUG - generation=6, Rank=7, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 4}, parentFitness=40.4500, childFitness=30.1600, networkFitness=46.3500
2018-11-02 21:07:32,488 - DEBUG - generation=6, Rank=2, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=47.7500, childFitness=43.3400, networkFitness=49.0000
2018-11-02 21:07:34,631 - DEBUG - generation=6, Rank=1, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=41.4600, childFitness=40.2500, networkFitness=44.3800
2018-11-02 21:07:40,819 - DEBUG - generation=6, Rank=0, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=39.9800, childFitness=21.5000, networkFitness=41.7500
2018-11-02 21:07:42,862 - DEBUG - generation=6, Rank=5, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=44.4100, childFitness=47.5000, networkFitness=47.5000
2018-11-02 21:07:52,917 - DEBUG - generation=6, Rank=3, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=47.0600, childFitness=49.8100, networkFitness=49.8100
2018-11-02 21:08:00,416 - DEBUG - generation=6, Rank=4, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=45.8300, childFitness=46.6600, networkFitness=48.4500
2018-11-02 21:10:05,250 - DEBUG - generation=7, Rank=0, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=40.6800, childFitness=40.4800, networkFitness=41.7500
2018-11-02 21:10:07,707 - DEBUG - generation=7, Rank=3, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=49.3100, childFitness=40.8200, networkFitness=49.8100
2018-11-02 21:10:15,562 - DEBUG - generation=7, Rank=1, processid=boyle-n028.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=43.2700, childFitness=43.6600, networkFitness=44.3800
