2018-11-02 14:05:11,950 - DEBUG - generation=2, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=18.6700, networkFitness=18.6700
2018-11-02 14:08:24,264 - DEBUG - generation=3, Rank=0, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=40.3700, childFitness=43.2500, networkFitness=43.2500
2018-11-02 14:10:57,153 - DEBUG - generation=3, Rank=1, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=10.0000, childFitness=41.8000, networkFitness=41.8000
2018-11-02 14:12:48,192 - DEBUG - generation=3, Rank=2, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 14:14:18,246 - DEBUG - generation=3, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0600
2018-11-02 14:18:25,107 - DEBUG - generation=3, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=17.5200, childFitness=10.0000, networkFitness=18.7700
2018-11-02 14:22:36,542 - DEBUG - generation=3, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=18.4800, childFitness=10.0000, networkFitness=18.6700
2018-11-02 14:25:45,999 - DEBUG - generation=4, Rank=0, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=42.3900, childFitness=45.8500, networkFitness=45.8500
2018-11-02 14:29:25,796 - DEBUG - generation=4, Rank=1, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=42.1900, childFitness=42.1600, networkFitness=42.1900
2018-11-02 14:31:29,458 - DEBUG - generation=4, Rank=2, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=18.0700, networkFitness=18.0700
2018-11-02 14:33:07,783 - DEBUG - generation=4, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0600
2018-11-02 14:36:23,792 - DEBUG - generation=4, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=18.3200, childFitness=10.0000, networkFitness=18.7700
2018-11-02 14:40:29,168 - DEBUG - generation=4, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=17.2400, childFitness=16.4800, networkFitness=18.6700
2018-11-02 14:42:52,952 - DEBUG - generation=5, Rank=0, parent={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=10.0000, childFitness=10.0000, networkFitness=45.8500
2018-11-02 14:46:36,965 - DEBUG - generation=5, Rank=1, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=42.3100, childFitness=10.0000, networkFitness=42.3100
2018-11-02 14:48:52,479 - DEBUG - generation=5, Rank=2, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=17.8300, childFitness=17.7300, networkFitness=18.0700
2018-11-02 14:50:35,935 - DEBUG - generation=5, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0600
2018-11-02 14:55:44,469 - DEBUG - generation=5, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=19.3600, childFitness=16.3900, networkFitness=19.3600
2018-11-02 14:59:59,012 - DEBUG - generation=5, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=17.9600, childFitness=44.0000, networkFitness=44.0000
2018-11-02 15:02:37,195 - DEBUG - generation=6, Rank=0, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=29.7300, childFitness=45.3000, networkFitness=45.8500
2018-11-02 15:05:31,863 - DEBUG - generation=6, Rank=1, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=40.8300, childFitness=18.5200, networkFitness=42.3100
2018-11-02 15:08:46,693 - DEBUG - generation=6, Rank=2, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=18.7500, childFitness=42.4500, networkFitness=42.4500
2018-11-02 15:10:40,499 - DEBUG - generation=6, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0600
2018-11-02 15:14:16,230 - DEBUG - generation=6, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=18.5700, childFitness=10.0000, networkFitness=19.3600
2018-11-02 15:17:56,814 - DEBUG - generation=6, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=45.8400, childFitness=45.1300, networkFitness=45.8400
2018-11-02 15:20:01,596 - DEBUG - generation=7, Rank=0, parent={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=13.3600, networkFitness=45.8500
2018-11-02 15:23:15,673 - DEBUG - generation=7, Rank=1, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=42.2000, childFitness=17.8500, networkFitness=42.3100
2018-11-02 15:27:18,975 - DEBUG - generation=7, Rank=2, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=42.0700, childFitness=38.3900, networkFitness=42.4500
2018-11-02 15:29:19,799 - DEBUG - generation=7, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'relu', 'nbLayers': 9, 'nbNeurons': 4}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0600
2018-11-02 15:33:50,867 - DEBUG - generation=7, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=13.1800, childFitness=18.3900, networkFitness=19.3600
2018-11-02 15:37:27,418 - DEBUG - generation=7, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=45.1500, childFitness=45.0400, networkFitness=45.8400
2018-11-02 15:42:18,317 - DEBUG - generation=8, Rank=0, parent={'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=10.0000, networkFitness=45.8500
2018-11-02 15:46:48,652 - DEBUG - generation=8, Rank=1, parent={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=42.9300, childFitness=45.5800, networkFitness=45.5800
