2018-11-02 14:40:44,105 - DEBUG - generation=1, Rank=7, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=26.7900, childFitness=27.8100, networkFitness=27.8100
2018-11-02 14:41:58,877 - DEBUG - generation=1, Rank=8, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 4}, parentFitness=30.2800, childFitness=10.0000, networkFitness=30.2800
2018-11-02 14:42:47,306 - DEBUG - generation=1, Rank=9, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=29.4200, childFitness=29.0700, networkFitness=29.4200
2018-11-02 14:45:06,003 - DEBUG - generation=2, Rank=0, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 15, 'nbNeurons': 32}, parentFitness=10.2800, childFitness=10.0400, networkFitness=30.7700
2018-11-02 14:46:15,088 - DEBUG - generation=2, Rank=1, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=26.4400, childFitness=29.0700, networkFitness=29.5200
2018-11-02 14:47:14,732 - DEBUG - generation=2, Rank=2, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=26.9900, childFitness=28.9900, networkFitness=28.9900
2018-11-02 14:48:07,125 - DEBUG - generation=2, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=27.8300, childFitness=29.4700, networkFitness=29.6000
2018-11-02 14:48:59,901 - DEBUG - generation=2, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=26.8100, childFitness=24.8800, networkFitness=27.5700
2018-11-02 14:49:50,770 - DEBUG - generation=2, Rank=5, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=28.5100, childFitness=30.4900, networkFitness=30.4900
2018-11-02 14:50:44,145 - DEBUG - generation=2, Rank=6, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=25.9600, childFitness=29.4100, networkFitness=29.8300
2018-11-02 14:51:39,881 - DEBUG - generation=2, Rank=7, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=26.9500, childFitness=28.2300, networkFitness=28.2300
2018-11-02 14:52:33,404 - DEBUG - generation=2, Rank=8, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=23.1400, childFitness=27.9100, networkFitness=30.2800
2018-11-02 14:53:28,074 - DEBUG - generation=2, Rank=9, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=25.1400, childFitness=29.2700, networkFitness=29.4200
2018-11-02 14:54:56,835 - DEBUG - generation=3, Rank=0, parent={'dropout': 0.2, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=17.7500, childFitness=18.2300, networkFitness=30.7700
2018-11-02 14:55:49,847 - DEBUG - generation=3, Rank=1, parent={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=30.9000, childFitness=32.0000, networkFitness=32.0000
2018-11-02 14:56:51,859 - DEBUG - generation=3, Rank=2, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=28.3700, childFitness=29.0400, networkFitness=29.0400
2018-11-02 14:57:54,453 - DEBUG - generation=3, Rank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=28.0200, childFitness=30.9400, networkFitness=30.9400
2018-11-02 14:58:52,881 - DEBUG - generation=3, Rank=4, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=18.7600, childFitness=34.1900, networkFitness=34.1900
